,NOC_CNP,NOC_Title_eng,prov,ER_Code_Code_RE,ER_Name,Low_Wage_Salaire_Minium,Median_Wage_Salaire_Median,High_Wage_Salaire_Maximal,Average_Wage_Salaire_Moyen,Revision_Date_Date_revision,Annual_Wage_Flag_Salaire_annuel,Non_WageBen_pct
12642,NOC_31209,Other professional occupations in health diagnosing and treating,NAT,ER00,Canada,32360.0,56800.0,123000.0,64400.0,2024-12-03,1,
12661,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER24,Quebec,32389.0,46800.0,123000.0,57200.0,2024-12-03,1,
12664,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2420,Capitale-Nationale,,43600.0,,44000.0,2024-12-03,1,
12666,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2430,Estrie,,40800.0,,52000.0,2024-12-03,1,
12668,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2435,Montérégie,,64500.0,,73000.0,2024-12-03,1,
12669,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2440,Montréal,,42400.0,,48000.0,2024-12-03,1,
12670,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2445,Laval,,55600.0,,130000.0,2024-12-03,1,
12671,NOC_31209,Other professional occupations in health diagnosing and treating,QC,ER2450,Lanaudière,,40800.0,,48000.0,2024-12-03,1,
12679,NOC_31209,Other professional occupations in health diagnosing and treating,ON,ER35,Ontario,36708.0,62000.0,122000.0,68400.0,2024-12-03,1,
12680,NOC_31209,Other professional occupations in health diagnosing and treating,ON,ER3510,Ottawa,,71500.0,,68000.0,2024-12-03,1,
12683,NOC_31209,Other professional occupations in health diagnosing and treating,ON,ER3530,Toronto,36708.0,57200.0,122000.0,66000.0,2024-12-03,1,
12684,NOC_31209,Other professional occupations in health diagnosing and treating,ON,ER3540,Kitchener--Waterloo--Barrie,,54000.0,,68000.0,2024-12-03,1,
12685,NOC_31209,Other professional occupations in health diagnosing and treating,ON,ER3550,Hamilton--Niagara Peninsula,,79000.0,,82000.0,2024-12-03,1,
12707,NOC_31209,Other professional occupations in health diagnosing and treating,AB,ER48,Alberta,32867.0,64000.0,139000.0,76000.0,2024-12-03,1,
12710,NOC_31209,Other professional occupations in health diagnosing and treating,AB,ER4830,Calgary,,53200.0,,74000.0,2024-12-03,1,
12716,NOC_31209,Other professional occupations in health diagnosing and treating,BC,ER59,British Columbia,36973.0,71500.0,124000.0,63200.0,2024-12-03,1,
12717,NOC_31209,Other professional occupations in health diagnosing and treating,BC,ER5910,Vancouver Island and Coast,,80000.0,,80000.0,2024-12-03,1,
12718,NOC_31209,Other professional occupations in health diagnosing and treating,BC,ER5920,Lower Mainland,36973.0,52800.0,,58400.0,2024-12-03,1,
12719,NOC_31209,Other professional occupations in health diagnosing and treating,BC,ER5930,Thompson--Okanagan,,71000.0,,58000.0,2024-12-03,1,
13588,NOC_32110,Denturists,NAT,ER00,Canada,32360.0,54000.0,122000.0,67000.0,2024-12-03,1,
13607,NOC_32110,Denturists,QC,ER24,Quebec,32389.0,59600.0,139000.0,73000.0,2024-12-03,1,
13614,NOC_32110,Denturists,QC,ER2435,Montérégie,,45600.0,,50000.0,2024-12-03,1,
13615,NOC_32110,Denturists,QC,ER2440,Montréal,,52400.0,,52000.0,2024-12-03,1,
13625,NOC_32110,Denturists,ON,ER35,Ontario,36708.0,46400.0,136000.0,56400.0,2024-12-03,1,
13646,NOC_32110,Denturists,SK,ER47,Saskatchewan,,69000.0,,68000.0,2024-12-03,1,
13653,NOC_32110,Denturists,AB,ER48,Alberta,,46800.0,,61000.0,2024-12-03,1,
13659,NOC_32110,Denturists,AB,ER4860,Edmonton,,49200.0,,64000.0,2024-12-03,1,
13662,NOC_32110,Denturists,BC,ER59,British Columbia,,44400.0,,51000.0,2024-12-03,1,
14362,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,NAT,ER00,Canada,32360.0,32800.0,79500.0,39600.0,2024-12-03,1,
14381,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,QC,ER24,Quebec,,41600.0,,47000.0,2024-12-03,1,
14389,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,QC,ER2440,Montréal,,41600.0,,42000.0,2024-12-03,1,
14399,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,ON,ER35,Ontario,,36708.0,,36500.0,2024-12-03,1,
14403,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,ON,ER3530,Toronto,,36708.0,,39000.0,2024-12-03,1,
14427,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,AB,ER48,Alberta,,32867.0,,33000.0,2024-12-03,1,
14430,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,AB,ER4830,Calgary,,40800.0,,38000.0,2024-12-03,1,
14436,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,BC,ER59,British Columbia,36973.0,36973.0,71000.0,36800.0,2024-12-03,1,
14438,NOC_32200,Traditional Chinese medicine practitioners and acupuncturists,BC,ER5920,Lower Mainland,36973.0,36973.0,78000.0,38000.0,2024-12-03,1,
14448,NOC_32201,Massage therapists,NAT,ER00,Canada,32360.0,32360.0,62400.0,33480.0,2024-12-03,1,46.5
14449,NOC_32201,Massage therapists,NL,ER10,Newfoundland and Labrador,,36400.0,,46000.0,2024-12-03,1,
14450,NOC_32201,Massage therapists,NL,ER1010,Avalon Peninsula,,35200.0,,46000.0,2024-12-03,1,
14454,NOC_32201,Massage therapists,PEI,ER1110,Prince Edward Island,,40800.0,,38000.0,2024-12-03,1,
14455,NOC_32201,Massage therapists,NS,ER12,Nova Scotia,32360.0,33200.0,56000.0,34000.0,2024-12-03,1,
14458,NOC_32201,Massage therapists,NS,ER1230,Annapolis Valley,,40800.0,,34000.0,2024-12-03,1,
14460,NOC_32201,Massage therapists,NS,ER1250,Halifax,,34400.0,,36000.0,2024-12-03,1,
14461,NOC_32201,Massage therapists,NB,ER13,New Brunswick,32732.0,32732.0,56000.0,32400.0,2024-12-03,1,72.4
14462,NOC_32201,Massage therapists,NB,ER1310,Campbellton--Miramichi,,32732.0,,29000.0,2024-12-03,1,
14463,NOC_32201,Massage therapists,NB,ER1320,Moncton--Richibucto,,41200.0,,40000.0,2024-12-03,1,
14464,NOC_32201,Massage therapists,NB,ER1330,Saint John--St. Stephen,,32732.0,,30000.0,2024-12-03,1,
14465,NOC_32201,Massage therapists,NB,ER1340,Fredericton--Oromocto,,32732.0,,31000.0,2024-12-03,1,
14467,NOC_32201,Massage therapists,QC,ER24,Quebec,32389.0,32389.0,49200.0,25120.0,2024-12-03,1,
14470,NOC_32201,Massage therapists,QC,ER2420,Capitale-Nationale,,32389.0,,34000.0,2024-12-03,1,
14471,NOC_32201,Massage therapists,QC,ER2425,Chaudière-Appalaches,,32389.0,,22000.0,2024-12-03,1,
14472,NOC_32201,Massage therapists,QC,ER2430,Estrie,,32389.0,,24000.0,2024-12-03,1,
14473,NOC_32201,Massage therapists,QC,ER2433,Centre-du-Québec,,32389.0,,24000.0,2024-12-03,1,
14474,NOC_32201,Massage therapists,QC,ER2435,Montérégie,32389.0,32389.0,52000.0,27400.0,2024-12-03,1,
14475,NOC_32201,Massage therapists,QC,ER2440,Montréal,,32389.0,,21600.0,2024-12-03,1,
14476,NOC_32201,Massage therapists,QC,ER2445,Laval,,32389.0,,26000.0,2024-12-03,1,
14477,NOC_32201,Massage therapists,QC,ER2450,Lanaudière,,32389.0,,31200.0,2024-12-03,1,
14478,NOC_32201,Massage therapists,QC,ER2455,Laurentides,,32389.0,,21600.0,2024-12-03,1,
14479,NOC_32201,Massage therapists,QC,ER2460,Outaouais,,32389.0,,21000.0,2024-12-03,1,
14481,NOC_32201,Massage therapists,QC,ER2470,Mauricie,,32389.0,,32000.0,2024-12-03,1,
14485,NOC_32201,Massage therapists,ON,ER35,Ontario,36708.0,36708.0,57200.0,32320.0,2024-12-03,1,30.4
14486,NOC_32201,Massage therapists,ON,ER3510,Ottawa,36708.0,36708.0,47600.0,33000.0,2024-12-03,1,
14487,NOC_32201,Massage therapists,ON,ER3515,Kingston--Pembroke,,36708.0,,38000.0,2024-12-03,1,
14488,NOC_32201,Massage therapists,ON,ER3520,Muskoka--Kawarthas,,36708.0,,35000.0,2024-12-03,1,
14489,NOC_32201,Massage therapists,ON,ER3530,Toronto,36708.0,36708.0,59600.0,31850.0,2024-12-03,1,
14490,NOC_32201,Massage therapists,ON,ER3540,Kitchener--Waterloo--Barrie,36708.0,36708.0,48000.0,28600.0,2024-12-03,1,
14491,NOC_32201,Massage therapists,ON,ER3550,Hamilton--Niagara Peninsula,,36708.0,,30800.0,2024-12-03,1,
14492,NOC_32201,Massage therapists,ON,ER3560,London,,38400.0,,38000.0,2024-12-03,1,
14493,NOC_32201,Massage therapists,ON,ER3570,Windsor--Sarnia,,36708.0,,30400.0,2024-12-03,1,
14495,NOC_32201,Massage therapists,ON,ER3590,Northeast,,38000.0,,42000.0,2024-12-03,1,
14497,NOC_32201,Massage therapists,MB,ER46,Manitoba,34374.0,34374.0,50400.0,31000.0,2024-12-03,1,
14502,NOC_32201,Massage therapists,MB,ER4650,Winnipeg,34374.0,34374.0,48800.0,31600.0,2024-12-03,1,
14506,NOC_32201,Massage therapists,SK,ER47,Saskatchewan,33955.0,40800.0,67500.0,38800.0,2024-12-03,1,
14507,NOC_32201,Massage therapists,SK,ER4710,Regina--Moose Mountain,,37600.0,,42000.0,2024-12-03,1,
14509,NOC_32201,Massage therapists,SK,ER4730,Saskatoon--Biggar,,33955.0,,33500.0,2024-12-03,1,
14513,NOC_32201,Massage therapists,AB,ER48,Alberta,32867.0,32867.0,63600.0,34400.0,2024-12-03,1,44.3
14514,NOC_32201,Massage therapists,AB,ER4810,Lethbridge--Medicine Hat,,32867.0,,38000.0,2024-12-03,1,
14515,NOC_32201,Massage therapists,AB,ER4820,Camrose--Drumheller,,32867.0,,14000.0,2024-12-03,1,
14516,NOC_32201,Massage therapists,AB,ER4830,Calgary,32867.0,33200.0,63600.0,35400.0,2024-12-03,1,
14519,NOC_32201,Massage therapists,AB,ER4860,Edmonton,32867.0,32867.0,64500.0,32400.0,2024-12-03,1,
14522,NOC_32201,Massage therapists,BC,ER59,British Columbia,36973.0,43600.0,81000.0,45300.0,2024-12-03,1,
14523,NOC_32201,Massage therapists,BC,ER5910,Vancouver Island and Coast,,36973.0,,42000.0,2024-12-03,1,
14524,NOC_32201,Massage therapists,BC,ER5920,Lower Mainland,36973.0,46400.0,85000.0,47600.0,2024-12-03,1,
14525,NOC_32201,Massage therapists,BC,ER5930,Thompson--Okanagan,,48400.0,,46000.0,2024-12-03,1,
14534,NOC_32209,Other practitioners of natural healing,NAT,ER00,Canada,32360.0,32360.0,76500.0,33600.0,2024-12-03,1,
14553,NOC_32209,Other practitioners of natural healing,QC,ER24,Quebec,,32389.0,,26800.0,2024-12-03,1,
